experiment,var,type,shots,label,theoretical,experimental,std_dev,abs_dev,percent_dev
5,8,Inconsistent,64,1111,0.0,0.0,0.0,0.0,
5,8,Inconsistent,128,0000,1.0,0.9114583333333334,0.0045105489780439,0.08854166666666663,8.854166666666663
5,8,Inconsistent,128,0011,0.0,0.0182291666666666,0.0045105489780439,0.0182291666666666,
5,8,Inconsistent,128,1100,0.0,0.0286458333333333,0.0119337908722808,0.0286458333333333,
5,8,Inconsistent,128,1111,0.0,0.0,0.0,0.0,
5,8,Inconsistent,256,0000,1.0,0.9309895833333334,0.0254156527290926,0.06901041666666663,6.9010416666666625
5,8,Inconsistent,256,0011,0.0,0.0221354166666666,0.0112763724451098,0.0221354166666666,
5,8,Inconsistent,256,1100,0.0,0.0208333333333333,0.0137182991573603,0.0208333333333333,
5,8,Inconsistent,256,1111,0.0,0.0,0.0,0.0,
6,12,Inconsistent,64,0000,1.0,0.9375,0.03125,0.0625,6.25
6,12,Inconsistent,64,0011,0.0,0.0104166666666666,0.0180421959121758,0.0104166666666666,
6,12,Inconsistent,64,1100,0.0,0.0052083333333333,0.0090210979560879,0.0052083333333333,
6,12,Inconsistent,64,1111,0.0,0.0,0.0,0.0,
6,12,Inconsistent,128,0000,1.0,0.90625,0.0546875,0.09375,9.375
6,12,Inconsistent,128,0011,0.0,0.0442708333333333,0.0430278949006726,0.0442708333333333,
6,12,Inconsistent,128,1100,0.0,0.0260416666666666,0.0090210979560879,0.0260416666666666,
6,12,Inconsistent,128,1111,0.0,0.0026041666666666,0.0045105489780439,0.0026041666666666,
6,12,Inconsistent,256,0000,1.0,0.9049479166666666,0.0059668954361404,0.09505208333333337,9.505208333333337
6,12,Inconsistent,256,0011,0.0,0.0338541666666666,0.0022552744890219,0.0338541666666666,
6,12,Inconsistent,256,1100,0.0,0.0208333333333333,0.0022552744890219,0.0208333333333333,
6,12,Inconsistent,256,1111,0.0,0.0,0.0,0.0,
